DrugID,TargetID,label
D0J2UW,T86679,1
D0F5NJ,T32060,1
D0F5NJ,T31204,1
D0J2UW,T77365,1
D0PO7F,T58921,1
D0B7QP,T27944,1
D0E8CZ,T51408,1
D09AOO,T28893,1
D06FKC,T78709,1
D06FKC,T07806,1
DBND71,T51426,1
DE5N3K,T60182,1
D06LQH,T02551,1
D04JSE,T97413,1
D0UX4A,T37693,1
D0NY1R,T36075,1
D0BP7C,T67684,1
D0C4BI,T59604,1
D06SRX,T37693,1
D09DSK,T37693,1
D0N6FZ,T67162,1
D0V0YM,T76685,1
D0D8DA,T18876,1
D00IQV,T47094,1
D0M2LD,T28893,1
D0A7GH,T96079,1
D0LJ7R,T89034,1
D0UV9F,T59604,1
D0SE9S,T52921,1
D09ZPN,T88185,1
D0A6IO,T36059,1
D0O9ZY,T99524,1
D0C5FN,T90782,1
D0F3XQ,T59679,1
D0FE7A,T59679,1
D0H5FY,T68782,1
D07OSA,T59679,1
D0Q0YS,T79591,1
D0Q0YS,T98933,1
D06TOI,T30687,1
D0Z7YK,T30687,1
D0V8YH,T97917,1
D0V8YH,T16336,1
D0K1TQ,T36557,1
D04DYM,T03818,1
D0XR8Q,T36557,1
D02ZML,T28330,1
D08ZYC,T51385,1
D08ZYC,T25608,1
D0B2MN,T06182,1
D0B2MN,T86364,1
D08EBT,T86679,1
D08EBT,T92072,1
D08EBT,T36059,1
D0NH6Q,T67818,1
D0E8TW,T16555,1
D0Q2OK,T90782,1
D0Q1HE,T93515,1
D0Y3WN,T93515,1
D0V9TZ,T16555,1
D09EGQ,T16555,1
D02NRP,T82083,1
D0J4MU,T90782,1
D06BYY,T78709,1
D07EOD,T97613,1
D06AUM,T97613,1
D0OC1W,T23499,1
D0D9YW,T11072,1
D0D9YW,T78709,1
D0D9YW,T31204,1
D0RG8O,T77913,1
D0L0YF,T55956,1
D0B5ZA,T22285,1
D0B5ZA,T56588,1
D0B5ZA,T62276,1
D09UVB,T26500,1
D02OMP,T36059,1
D0VE9G,T00890,1
D0X5MA,T75797,1
D0X5MA,T85467,1
D01YEN,T27137,1
D01YEN,T99347,1
D06PIW,T82083,1
D06KMJ,T92072,1
D06KMJ,T86679,1
D08NQA,T36059,1
D0YB7F,T72458,1
D0YB7F,T95302,1
D0YB7F,T35842,1
D0YB7F,T76846,1
D05UGC,T75643,1
D02JCM,T86679,1
D0IF3N,T26500,1
D0Y4EW,T52921,1
D08ECP,T64765,1
D0A4XL,T64765,1
D0D9YW,T07806,1
D0D9YW,T83813,1
D0XR9Z,T51408,1
D0L8DV,T85467,1
D01SNS,T97613,1
D0E5XM,T64765,1
D0E5EB,T64765,1
D04EDO,T26500,1
D0B4SF,T30985,1
